Price $,Card Name,Rarity,Set
0.07,Acquisitions Expert,U,zendikar-rising
0.01,Adventure Awaits,C,zendikar-rising
14.46,"Agadeem's Awakening // Agadeem, the Undercrypt",M,zendikar-rising
18.5,"Agadeem's Awakening // Agadeem, the Undercrypt (Extended Art)",M,zendikar-rising
0.37,"Akiri, Fearless Voyager",R,zendikar-rising
0.97,"Akiri, Fearless Voyager (Extended Art)",R,zendikar-rising
0.03,Akoum Hellhound,C,zendikar-rising
0.06,Akoum Hellhound (Showcase),C,zendikar-rising
0.08,Akoum Warrior // Akoum Teeth,U,zendikar-rising
0.01,Allied Assault,U,zendikar-rising
13.12,Ancient Greenwarden,M,zendikar-rising
16.99,Ancient Greenwarden (Extended Art),M,zendikar-rising
2.93,Angel of Destiny,M,zendikar-rising
4.71,Angel of Destiny (Extended Art),M,zendikar-rising
0.18,Angel Warrior // Construct Double-sided Token,T,zendikar-rising
0.16,Angel Warrior // Copy Double-sided Token,T,zendikar-rising
0.07,Angel Warrior // Goblin Construct Double-sided Token,T,zendikar-rising
0.19,Angel Warrior // Hydra Double-sided Token,T,zendikar-rising
0.06,Angel Warrior // Insect Double-sided Token,T,zendikar-rising
0.2,Angel Warrior // Plant Double-sided Token,T,zendikar-rising
0.11,Angel Warrior Token,T,zendikar-rising
0.02,Angelheart Protector,C,zendikar-rising
0.06,Anticognition,C,zendikar-rising
0.46,Archon of Emeria,R,zendikar-rising
1.46,Archon of Emeria (Extended Art),R,zendikar-rising
0.12,Archpriest of Iona,R,zendikar-rising
0.27,Archpriest of Iona (Extended Art),R,zendikar-rising
0.01,Ardent Electromancer,C,zendikar-rising
7.05,"Ashaya, Soul of the Wild",M,zendikar-rising
10.0,"Ashaya, Soul of the Wild (Extended Art)",M,zendikar-rising
0.04,Attended Healer,U,zendikar-rising
2.85,Bala Ged Recovery // Bala Ged Sanctuary,U,zendikar-rising
0.1,Base Camp,U,zendikar-rising
0.08,Beyeen Veil // Beyeen Coast,U,zendikar-rising
0.2,Blackbloom Rogue // Blackbloom Bog,U,zendikar-rising
0.03,Blood Beckoning,C,zendikar-rising
0.02,Blood Price,C,zendikar-rising
0.45,Bloodchief's Thirst,U,zendikar-rising
1.98,Branchloft Pathway // Boulderloft Pathway,R,zendikar-rising
2.36,Branchloft Pathway // Boulderloft Pathway (Borderless),R,zendikar-rising
2.52,Brightclimb Pathway // Grimclimb Pathway,R,zendikar-rising
2.64,Brightclimb Pathway // Grimclimb Pathway (Borderless),R,zendikar-rising
0.03,Broken Wings,C,zendikar-rising
0.15,Brushfire Elemental,U,zendikar-rising
0.17,Brushfire Elemental (Showcase),U,zendikar-rising
0.05,Bubble Snare,C,zendikar-rising
0.01,Canopy Baloth,C,zendikar-rising
0.04,Canopy Baloth (Showcase),C,zendikar-rising
0.04,Canyon Jerboa,U,zendikar-rising
0.06,Canyon Jerboa (Showcase),U,zendikar-rising
0.01,Cascade Seer,C,zendikar-rising
0.19,Cat // Construct Double-sided Token,T,zendikar-rising
0.17,Cat // Copy Double-sided Token,T,zendikar-rising
0.24,Cat // Goblin Construct Double-sided Token,T,zendikar-rising
0.32,Cat // Hydra Double-sided Token,T,zendikar-rising
0.08,Cat // Insect Double-sided Token,T,zendikar-rising
0.14,Cat // Plant Double-sided Token,T,zendikar-rising
0.29,Cat Beast // Construct Double-sided Token,T,zendikar-rising
0.21,Cat Beast // Copy Double-sided Token,T,zendikar-rising
0.21,Cat Beast // Goblin Construct Double-sided Token,T,zendikar-rising
0.15,Cat Beast // Hydra Double-sided Token,T,zendikar-rising
0.17,Cat Beast // Insect Double-sided Token,T,zendikar-rising
0.63,Cat Beast // Plant Double-sided Token,T,zendikar-rising
0.25,Cat Beast Token,T,zendikar-rising
0.1,Cat Token,T,zendikar-rising
